Channel,Counts
532,1
533,0
534,0
535,0
536,1
537,0
538,1
539,3
540,1
541,1
542,1
543,0
544,0
545,0
546,1
547,0
548,0
549,1
550,1
551,0
552,1
553,2
554,0
555,0
556,1
557,0
558,0
559,1
560,1
561,1
562,0
563,0
564,1
565,3
566,1
567,0
568,2
569,3
570,1
571,0
572,1
573,5
574,0
575,0
576,1
577,2
578,1
579,0
580,1
581,1
582,2
583,0
584,1
585,1
586,0
587,2
588,0
589,0
590,2
591,0
592,0
593,1
594,1
595,2
596,0
597,1
598,2
599,1
600,0
601,1
602,0
603,0
604,0
605,0
606,0
607,1
608,1
609,3
610,2
611,0
612,0
613,1
614,1
615,0
616,2
617,1
618,1
619,1
620,1
621,0
622,1
623,0
624,0
625,0
626,0
627,2
628,0
629,0
630,2
631,1
632,3
633,0
634,2
635,0
636,1
637,2
638,2
639,3
640,1
641,2
642,1
643,1
644,0
645,0
646,1
647,0
648,0
649,1
650,0
651,1
652,0
653,0
654,0
655,0
656,2
657,2
658,0
659,1
660,0
661,1
662,1
663,0
664,0
665,2
666,1
667,1
668,3
669,2
670,0
671,2
672,3
673,1
674,3
675,4
676,4
677,2
678,0
679,2
680,5
681,0
682,1
683,1
684,2
685,2
686,1
687,1
688,0
689,2
690,2
691,0
692,1
693,1
694,3
695,3
696,3
697,1
698,1
699,3
700,4
701,2
702,3
703,5
704,2
705,1
706,2
707,4
708,1
709,3
710,3
711,6
712,3
713,0
714,0
715,0
716,0
717,0
718,0
719,1
720,1
721,0
722,1
723,1
724,1
725,1
726,0
727,0
728,0
729,1
730,2
731,2
732,0
733,0
734,0
735,2
736,0
737,1
738,1
739,0
740,0
741,1
742,1
743,1
744,2
745,2
746,2
747,1
748,2
749,0
750,2
751,0
752,1
753,1
754,0
755,1
756,1
757,1
758,1
759,2
760,0
761,1
762,1
763,1
764,1
765,1
766,2
767,0
768,0
769,0
770,0
771,2
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,1
782,2
783,1
784,0
785,0
786,0
787,0
788,0
789,0
790,1
791,0
792,0
793,0
794,3
795,1
796,1
797,1
798,0
799,3
800,1
801,0
802,1
803,1
804,1
805,1
806,1
807,0
808,0
809,1
810,2
811,0
812,3
813,3
814,0
815,0
816,0
817,1
818,1
819,0
820,0
821,1
822,1
823,1
824,0
825,1
826,0
827,2
828,1
829,2
830,0
831,2
832,1
833,0
834,2
835,0
836,1
837,0
838,2
839,1
840,2
841,1
842,4
843,0
844,0
845,0
846,1
847,0
848,2
849,0
850,2
851,1
852,1
853,2
854,2
855,0
856,1
857,2
858,0
859,0
860,0
861,0
862,1
863,2
864,0
865,1
866,1
867,0
868,0
869,0
870,0
871,1
872,4
873,2
874,1
875,1
876,0
877,0
878,1
879,0
880,0
881,0
882,1
883,0
884,0
885,0
886,0
887,1
888,1
889,0
890,0
891,0
892,2
893,2
894,2
895,1
896,0
897,0
898,1
899,0
900,2
901,0
902,2
903,1
904,1
905,0
906,0
907,1
908,0
909,0
910,0
911,1
912,1
913,1
914,0
915,0
916,0
917,1
918,0
919,0
920,1
921,0
922,0
923,1
924,0
925,1
926,0
927,0
928,3
929,0
930,0
931,1
932,3
933,3
934,1
935,1
936,2
937,0
938,0
939,0
940,3
941,1
942,2
943,2
944,1
945,1
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,1
954,2
955,0
956,0
957,1
958,2
959,1
960,1
961,0
962,0
963,0
964,0
965,0
966,5
967,0
968,2
969,0
970,2
971,0
972,1
973,0
974,0
975,1
976,0
977,1
978,1
979,1
980,0
981,0
982,0
983,0
984,0
985,2
986,3
987,0
988,1
989,4
990,1
991,1
992,1
993,0
994,2
995,2
996,0
997,1
998,1
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,1
1006,0
1007,0
1008,0
1009,1
1010,2
1011,1
1012,3
1013,1
1014,0
1015,3
1016,0
1017,1
1018,2
1019,1
1020,2
1021,0
1022,2
1023,2
1024,1
1025,2
1026,1
1027,1
1028,0
1029,1
1030,2
1031,1
1032,1
1033,0
1034,2
1035,0
1036,3
1037,2
1038,1
1039,2
1040,2
1041,0
1042,0
1043,0
1044,1
1045,1
1046,1
1047,0
1048,0
1049,1
1050,2
1051,3
1052,0
1053,0
1054,0
1055,0
1056,0
1057,3
1058,0
1059,2
1060,3
1061,0
1062,2
1063,2
1064,0
1065,1
1066,2
1067,1
1068,2
1069,3
1070,0
1071,2
1072,1
1073,0
1074,0
1075,2
1076,2
1077,1
1078,1
1079,0
1080,3
1081,0
1082,1
1083,0
1084,1
1085,1
1086,1
1087,1
1088,0
1089,1
1090,3
1091,1
1092,2
1093,2
1094,2
1095,2
1096,2
1097,1
1098,3
1099,0
1100,0
1101,1
1102,1
1103,3
1104,0
1105,1
1106,3
1107,1
1108,0
1109,0
1110,0
1111,1
1112,2
1113,1
1114,2
1115,1
1116,0
1117,1
1118,2
1119,1
1120,2
1121,3
1122,2
1123,1
1124,1
1125,0
1126,1
1127,1
1128,1
1129,3
1130,2
1131,1
1132,2
1133,1
1134,1
1135,0
1136,1
1137,1
1138,0
1139,1
1140,2
1141,2
1142,3
1143,0
1144,1
1145,1
1146,2
1147,2
1148,2
1149,0
1150,2
1151,0
1152,1
1153,1
1154,2
1155,2
1156,1
1157,0
1158,2
1159,1
1160,1
1161,1
1162,2
1163,1
1164,3
1165,2
1166,3
1167,1
1168,2
1169,0
1170,1
1171,3
